Time,Lat,Long,Temp,Prcp,Wvel,Wdir
2020-01-22 18:00:00.0000000,1.79999995,-78.86000061,-1.057485,4.12e-06,6.855337,0.8381683
2020-01-22 21:00:00.0000000,1.79999995,-78.86000061,-0.3206482,1.1e-07,6.00851,0.8630174
2020-01-23 00:00:00.0000000,1.79999995,-78.86000061,-0.19360352,6.3e-07,4.181642,0.62907904
2020-01-23 03:00:00.0000000,1.79999995,-78.86000061,-0.16156006,2.76e-05,3.83463,0.28343567
2020-01-23 06:00:00.0000000,1.79999995,-78.86000061,-0.37102255,0.00058592,4.3740244,-0.0938139
2020-01-23 09:00:00.0000000,1.79999995,-78.86000061,-0.36299643,0.00076138,3.9249172,-0.46877125
2020-01-23 12:00:00.0000000,1.79999995,-78.86000061,0.20352173,0.00013545,3.7861488,-0.258711
2020-01-23 15:00:00.0000000,1.79999995,-78.86000061,0.8687032,0.00010874,2.98047,0.12088578
2020-01-23 18:00:00.0000000,1.79999995,-78.86000061,0.72679645,8.13e-06,2.7493832,0.25159004
2020-01-23 21:00:00.0000000,1.79999995,-78.86000061,0.5780538,4.28e-05,3.9791787,0.5432119
2020-01-24 00:00:00.0000000,1.79999995,-78.86000061,0.09546915,0.00022539,3.2320957,0.5489897
2020-01-24 03:00:00.0000000,1.79999995,-78.86000061,-0.6444804,0.00023067,2.5386631,0.3454667
2020-01-24 06:00:00.0000000,1.79999995,-78.86000061,-0.57472736,8.45e-05,2.6752493,0.45247853
2020-01-24 09:00:00.0000000,1.79999995,-78.86000061,-0.4910482,0.00014432,5.269064,0.48898312
2020-01-24 12:00:00.0000000,1.79999995,-78.86000061,-0.36446127,8.23e-05,4.323006,0.77958655
2020-01-24 15:00:00.0000000,1.79999995,-78.86000061,0.00169881,8.75e-05,2.2935736,0.54447806
2020-01-24 18:00:00.0000000,1.79999995,-78.86000061,0.22358195,8.66e-06,1.9826943,0.0357389
2020-01-24 21:00:00.0000000,1.79999995,-78.86000061,0.45407104,1.11e-05,2.5527654,-0.02409414
2020-01-25 00:00:00.0000000,1.79999995,-78.86000061,0.6079915,0.00013914,2.5385616,-0.30969858
2020-01-25 03:00:00.0000000,1.79999995,-78.86000061,0.7158,0.00021547,1.9450153,-0.7843907
2020-01-25 06:00:00.0000000,1.79999995,-78.86000061,0.17421468,0.00036633,1.5106078,-1.8836327
2020-01-25 09:00:00.0000000,1.79999995,-78.86000061,-0.01740519,0.00019193,1.6138921,-2.6297257
2020-01-25 12:00:00.0000000,1.79999995,-78.86000061,-0.7894287,0.00011264,1.9975886,-2.3000915
2020-01-25 15:00:00.0000000,1.79999995,-78.86000061,-0.33048502,0.00025337,4.6987443,-1.9844909
2020-01-25 18:00:00.0000000,1.79999995,-78.86000061,-0.2596639,0.00054264,5.0490813,-2.0092018
2020-01-25 21:00:00.0000000,1.79999995,-78.86000061,-0.24712117,0.00128353,5.6666603,-2.1645682
2020-01-26 00:00:00.0000000,1.79999995,-78.86000061,-0.29703775,0.00449817,6.225744,-2.3747785
2020-01-26 03:00:00.0000000,1.79999995,-78.86000061,-0.91483563,0.01305818,6.383541,-2.093906
2020-01-26 06:00:00.0000000,1.79999995,-78.86000061,-1.0316874,0.00625308,6.4772725,-1.8666443
2020-01-26 09:00:00.0000000,1.79999995,-78.86000061,-0.75197345,0.00201567,5.29128,-2.018698
2020-01-26 12:00:00.0000000,1.79999995,-78.86000061,-1.2528788,0.00313504,1.9509426,-2.2119644
2020-01-26 15:00:00.0000000,1.79999995,-78.86000061,-1.2591349,0.0041917,2.408044,-0.3887589
2020-01-26 18:00:00.0000000,1.79999995,-78.86000061,-0.7453003,0.00380351,4.0137467,-0.0622629
2020-01-26 21:00:00.0000000,1.79999995,-78.86000061,-0.66325885,0.00271518,3.0533037,-0.6185974
2020-01-27 00:00:00.0000000,1.79999995,-78.86000061,-1.0130411,0.00235518,2.087807,-1.6197788
2020-01-27 03:00:00.0000000,1.79999995,-78.86000061,-1.2614645,0.00412888,3.36842,-2.7165573
2020-01-27 06:00:00.0000000,1.79999995,-78.86000061,-1.5584615,0.00120404,4.2621384,-1.0473734
2020-01-27 09:00:00.0000000,1.79999995,-78.86000061,-1.6052856,8.32e-05,5.709202,2.9794257
2020-01-27 12:00:00.0000000,1.79999995,-78.86000061,-1.6545715,3.27e-06,5.0143023,0.9940241
2020-01-27 15:00:00.0000000,1.79999995,-78.86000061,-1.6819662,2.1e-07,4.483669,1.0306302
2020-01-27 18:00:00.0000000,1.79999995,-78.86000061,-1.4909464,6.3e-07,5.6190476,1.037762
2020-01-27 21:00:00.0000000,1.79999995,-78.86000061,-1.6001078,0.0,5.8335285,-2.9380696
2020-01-28 00:00:00.0000000,1.79999995,-78.86000061,-1.8751017,0.0,5.9385543,-2.8264458
2020-01-28 03:00:00.0000000,1.79999995,-78.86000061,-2.2025757,2.81e-05,6.1872563,-2.9079158
2020-01-28 06:00:00.0000000,1.79999995,-78.86000061,-2.515971,2.64e-05,6.798498,-2.992425
2020-01-28 09:00:00.0000000,1.79999995,-78.86000061,-2.7972107,0.00021589,8.559062,0.9004161
2020-01-28 12:00:00.0000000,1.79999995,-78.86000061,-2.1434326,0.00015519,10.522887,2.9013965
2020-01-28 15:00:00.0000000,1.79999995,-78.86000061,-2.0634868,2.23e-05,11.679873,2.8149927
2020-01-28 18:00:00.0000000,1.79999995,-78.86000061,-1.9237366,1.06e-05,11.131555,2.773649
2020-01-28 21:00:00.0000000,1.79999995,-78.86000061,-1.9503073,1.53e-05,9.25497,2.7202702
2020-01-29 00:00:00.0000000,1.79999995,-78.86000061,-2.1668599,3.15e-05,7.350212,2.8406684
2020-01-29 03:00:00.0000000,1.79999995,-78.86000061,-2.120636,9.46e-05,7.315724,2.8075683
2020-01-29 06:00:00.0000000,1.79999995,-78.86000061,-2.3611042,0.00016955,7.5599236,2.7817929
2020-01-29 09:00:00.0000000,1.79999995,-78.86000061,-2.5349324,0.00025517,7.3130813,2.819308
2020-01-29 12:00:00.0000000,1.79999995,-78.86000061,-2.6681824,6.53e-05,7.148379,2.8996446
2020-01-29 15:00:00.0000000,1.79999995,-78.86000061,-2.3693135,7.18e-06,7.883448,3.0477717
2020-01-29 18:00:00.0000000,1.79999995,-78.86000061,-2.3303223,1.27e-06,7.657149,3.1080387
2020-01-29 21:00:00.0000000,1.79999995,-78.86000061,-1.3249716,5.3e-07,7.964132,3.0441763
2020-01-30 00:00:00.0000000,1.79999995,-78.86000061,-1.4224039,2.03e-05,6.903747,3.0756388
2020-01-30 03:00:00.0000000,1.79999995,-78.86000061,-1.7362671,0.00011782,6.47605,2.9342453
2020-01-30 06:00:00.0000000,1.79999995,-78.86000061,-1.9002686,4.82e-05,6.6563454,2.7419329
2020-01-30 09:00:00.0000000,1.79999995,-78.86000061,-2.4700928,0.00019341,6.835954,2.7623198
2020-01-30 12:00:00.0000000,1.79999995,-78.86000061,-2.333079,0.000108,8.461217,2.6613948
2020-01-30 15:00:00.0000000,1.79999995,-78.86000061,-1.4171041,2.72e-05,9.51331,2.6643965
2020-01-30 18:00:00.0000000,1.79999995,-78.86000061,-0.29533896,2.68e-05,10.150393,2.66695
2020-01-30 21:00:00.0000000,1.79999995,-78.86000061,0.17719524,0.00011074,8.862979,2.668125
2020-01-31 00:00:00.0000000,1.79999995,-78.86000061,-0.44237265,0.00012278,7.7064824,2.8104584
